"X","title","artist","year","spotify_id","id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","uri","analysis_url"
66,"Son Of A Sinner","Jelly Roll",2022,"25VQoiuyc0HkC5FQTj1a8G",0,0.365,0.541,7,-7.489,1,0.0304,0.0419,2.25e-06,0.281,0.329,86.041,232093,4,0,0
67,"Flower Shops","ERNEST Featuring Morgan Wallen",2022,"2ccuOtUjIyx3tPcsnpeBzJ",0,0.527,0.461,7,-5.908,1,0.0269,0.118,0,0.0831,0.227,128.153,214405,3,0,0
68,"So Good","Halsey",2022,"6kxaaIeowajN7w21PfMLbu",0,0.576,0.627,3,-4.649,0,0.0449,0.0385,0,0.181,0.311,164.998,176059,4,0,0
69,"Good Love","City Girls & Usher",2022,"52JFc40b28XJDROR3c4uAr",0,0.557,0.843,7,-4.519,1,0.0875,0.00132,0,0.109,0.811,129.511,232787,4,0,0
70,"Wishful Drinking","Ingrid Andress With Sam Hunt",2022,"3HGnIIdHYIbkowzLk8UHbE",0,0.678,0.528,10,-7.317,1,0.0551,0.289,0,0.0734,0.614,79.018,194545,4,0,0
71,"Hotel Lobby (Unc And Phew)","Quavo & Takeoff",2022,"0QNNd0qMCDbraS1nQPg3aA",0,0.821,0.636,11,-4.479,1,0.169,0.142,0,0.233,0.163,127.961,142657,4,0,0
72,"7500 OBO","Tim McGraw",2022,"7A4WmJcWx6KrVRfQ2CP8e7",0,0.528,0.718,7,-6.954,1,0.0337,0.1,0,0.304,0.51,155.759,221400,4,0,0
73,"To The Moon!","JNR CHOI & Sam Tompkins",2022,"5vUnjhBzRJJIAOJPde6zDx",0,0.745,0.65,2,-11.814,1,0.346,0.0451,0.00758,0.111,0.386,144.047,152137,4,0,0
74,"F.N.F. (Let's Go)","Hitkidd & GloRilla",2022,"1vrFJDrysqmsNAgyjBzx4f",0,0.864,0.476,1,-10.068,1,0.436,0.0374,0,0.374,0.647,157.144,137580,4,0,0
75,"Country On","Luke Bryan",2022,"1tRxwf8Q0AcshfHuaD86Yt",0,0.52,0.751,5,-5.064,1,0.0551,0.171,7.4e-06,0.0624,0.519,156.044,236456,4,0,0
76,"Whiskey On You","Nate Smith",2022,"6Tm4Io4ct4w14nB1EUzsY3",0,0.479,0.768,8,-5.204,1,0.0312,7.02e-05,0.00549,0.121,0.576,110.024,183790,4,0,0
77,"New Truck","Dylan Scott",2022,"4MDYIbU6I29Gjiu7JATTIJ",0,0.529,0.755,1,-5.864,1,0.125,0.222,0,0.0986,0.528,96.86,174360,4,0,0
78,"Circles Around This Town","Maren Morris",2022,"13G5xv1wUKvJYbK0wYmioN",0,0.591,0.814,4,-4.986,1,0.0468,0.015,0,0.117,0.815,149.9,195760,4,0,0
79,"Wild As Her","Corey Kent",2022,"4RG7P0CXQ4pe0OeCAHjX5L",0,0.504,0.736,0,-6.079,1,0.0352,0.00216,0,0.129,0.46,148.014,199733,4,0,0
80,"Love Me More","Sam Smith",2022,"16MQETUgqXwY4lZcyRafU3",0,0.791,0.439,10,-5.62,1,0.0645,0.302,1.85e-05,0.126,0.559,85.004,190659,4,0,0
81,"More","j-hope",2022,"4XKXphKH76W4zNpkgFS5o2",0,0.783,0.722,2,-4.864,1,0.0357,0.00537,0.00209,0.105,0.306,97.031,180022,4,0,0
82,"Numb","Marshmello & Khalid",2022,"10xV5l9nhLvFpR8mqzs0bL",0,0.912,0.774,0,-4.673,0,0.0455,0.121,0.0127,0.101,0.632,119.966,155589,4,0,0
83,"Cash In Cash Out","Pharrell Williams Featuring 21 Savage & Tyler, The Creator",2022,"3S68RFe1lsdCdTMPIMJM3X",0,0.877,0.56,7,-3.751,1,0.0596,0.00721,1.45e-06,0.0839,0.154,119.971,216136,4,0,0
84,"Un Ratito","Bad Bunny",2022,"5CzixCxDkRXX9mScCmah8O",0,0.787,0.546,0,-7.094,0,0.0532,0.305,4.55e-05,0.122,0.222,93.05,176936,4,0,0
85,"Ghost Story","Carrie Underwood",2022,"2FGOg7uYBfnspkPOISXTFY",0,0.479,0.742,7,-5.587,1,0.0539,0.0069,0.000834,0.278,0.454,142.909,181400,3,0,0
86,"Right On","Lil Baby",2022,"6ws54n2IzyrIxxyzlG2bVJ",0,0.535,0.618,2,-5.668,1,0.382,0.0245,0,0.103,0.211,165.991,213976,4,0,0
87,"Thought You Should Know","Morgan Wallen",2022,"6NHpyYvJyQsg2nXXzGYc2R",0,0.529,0.695,6,-6.174,1,0.0278,0.488,1.24e-05,0.142,0.514,139.993,215572,4,0,0
88,"Te Felicito","Shakira & Rauw Alejandro",2022,"2rurDawMfoKP4uHyb2kJBt",0,0.695,0.636,5,-4.654,1,0.317,0.234,0,0.081,0.575,174.14,172235,4,0,0
89,"She Likes It","Russell Dickerson & Jake Scott",2022,"6VVqPBFZIbcmv14zNfOc13",0,0.79,0.325,4,-11.689,1,0.127,0.509,0,0.155,0.539,126.877,163311,4,0,0
90,"Plan B","Megan Thee Stallion",2022,"2PljnVsnl2PRwCvfhbdQup",0,0.787,0.522,8,-5.872,1,0.463,0.0668,0,0.108,0.666,170.439,163765,4,0,0
91,"Desesperados","Rauw Alejandro & Chencho Corleone",2022,"6mmPpaltUZK7xjNlBPQQ0p",0,0.869,0.694,1,-3.35,0,0.0783,0.356,0.00125,0.0878,0.511,90.02,224997,4,0,0
92,"La Corriente","Bad Bunny & Tony Dize",2022,"1797zYiX4cKosMH836X9Gt",0,0.663,0.786,11,-3.51,0,0.195,0.229,0,0.219,0.579,196.12,198367,4,0,0
93,"Bones","Imagine Dragons",2022,"0HqZX76SFLDz2aW8aiqi7G",0,0.773,0.742,5,-3.678,0,0.046,0.0206,0,0.0754,0.571,114.071,165265,4,0,0
94,"Until I Found You","Stephen Sanchez",2022,"0T5iIrXA4p5GsubkhuBIKV",0,0.539,0.508,10,-6.05,1,0.0288,0.727,0,0.174,0.227,101.358,177720,3,0,0
95,"Best Thing Since Backroads","Jake Owen",2022,"0R1REdJZIDy7IS3DybdBce",0,0.512,0.841,7,-3.8,1,0.0309,0.0424,0.000257,0.113,0.33,156.077,187433,4,0,0
96,"U-Digg","Lil Baby, 42 Dugg & Veeze",2022,"0b7UwotRCrS7qBoLDjfvSY",0,0.824,0.583,1,-6.537,1,0.147,0.00253,0,0.266,0.154,147.496,235501,4,0,0
97,"Unstoppable","Sia",2022,"1yvMUkIOTeUNtNWlWRgANS",0,0.468,0.779,9,-4.839,1,0.0779,0.112,0.000373,0.101,0.26,173.799,217747,4,0,0
98,"Rich Minion","Yeat",2022,"1JIgFmCP5OCTEGV866WP3b",0,0.639,0.518,7,-13.892,0,0.312,0.108,0,0.307,0.497,145.058,165517,4,0,0
