,X,title,artist,year,lyrics,spotify_id,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,uri,analysis_url,liveliness,pos,neg,neu,compound,num_words,num_lines,num_syllables,difficult_words,fog_index,flesch_index,f_k_grade
10,11,7 Years,Lukas Graham,2016,"7 Years Lyrics
Once, I was seven years old, my mama told me
""Go make yourself some friends, or you'll be lonely""
Once, I was seven years old

It was a big, big world, but we thought we were bigger
Pushing each other to the limits, we were learning quicker
By eleven, smoking herb and drinking burning liquor
Never rich, so we were out to make that steady figure
Once, I was eleven years old, my daddy told me
""Go get yourself a wife, or you'll be lonely""
Once, I was eleven years old

I always had that dream like my daddy before me
So I started writing songs, I started writing stories
Something about that glory just always seemed to bore me
'Cause only those I really love will ever really know me

Once, I was twenty years old, my story got told
Before the morning sun, when life was lonely
Once, I was twenty years old (Lukas Graham!)

I only see my goals, I don't believe in failure
'Cause I know the smallest voices, they can make it major
I got my boys with me, at least those in favor
And if we don't meet before I leave, I hope I'll see you later
Once, I was twenty years old, my story got told
I was writing 'bout everything I saw before me
Once, I was twenty years old
Soon, we'll be thirty years old, our songs have been sold
We've traveled around the world and we're still roaming
Soon, we'll be thirty years old

I'm still learning about life, my woman brought children for me
So I can sing them all my songs, and I can tell them stories
Most of my boys are with me, some are still out seeking glory
And some I had to leave behind, my brother, I'm still sorry

Soon, I'll be sixty years old, my daddy got sixty-one
Remember life and then your life becomes a better one
I made a man so happy when I wrote a letter once
I hope my children come and visit once or twice a month

Soon, I'll be sixty years old, will I think the world is cold?
Or will I have a lot of children who can warm me?
Soon, I'll be sixty years old
Soon, I'll be sixty years old, will I think the world is cold?
Or will I have a lot of children who can hold me?
Soon, I'll be sixty years old

Once, I was seven years old, my mama told me
""Go make yourself some friends, or you'll be lonely""
Once I was seven years old
Once I was seven years old193Embed",5kqIPrATaCc2LqxVWzQGbk,0,0.765,0.473,10,-5.829,1,0.0514,0.287,0.0,0.391,0.34,119.992,237300,4,0,0,0.391,0.129,0.042,0.829,0.9921,27.4,30.21,541,18,29.6,444,27.4
11,12,Needed Me,Rihanna,2016,"Needed Me Lyrics
Mustard on the beat, ho!

I was good on my own, that's the way it was
That's the way it was
You was good on the low for a faded fuck
On some faded love
Shit, what the fuck you complaining for?
Feeling jaded, huh?
Used to trip off that shit I was kickin' to you
Had some fun on the run though I'll give it to you
But baby, don't get it twisted
You was just another nigga on the hit list
Tryna fix your inner issues with a bad bitch
Didn't they tell you that I was a savage?
Fuck ya white horse and ya carriage
Bet you never could imagine
Never told you you could have it

You needed me
Ooh, you needed me
To feel a little more, and give a little less
Know you hate to confess
But baby ooh, you needed me

You been rollin' around, shit I'm rollin' up
Light and roll it up
Break it down, like a pound, shit was never us
Shit was never us
That's the real, on the real, are you serious?
How you feel, how you feel?
Used to trip off that shit I was kickin' to ya
Had some fun on the run though, I'll give it to ya
But baby, don't get it twisted
You was just another nigga on the hit list
Tryna fix your inner issues with a bad bitch
Didn't they tell you that I was a savage?
Fuck ya white horse and ya carriage
Bet you never could imagine
Never told you you could have it

You needed me
Ooh, you needed me
To feel a little more, and give a little less
Know you hate to confess
But baby ooh, you needed me283Embed",4pAl7FkDMNBsjykPXo91B3,0,0.671,0.314,5,-8.091,0,0.244,0.11,0.0,0.0825,0.296,110.898,191600,4,0,0,0.0825,0.05,0.235,0.715,-0.997,13.0,67.76,353,16,15.07,296,13.0
12,13,My House,Flo Rida,2016,"My House Lyrics
Open up the champagne, pop!
It's my house, come on, turn it up

Hear a knock on the door and the night begins
'Cause we done this before, so you come on in
Make yourself at my home, tell me where you been
Pour yourself something cold, baby, cheers to this

Sometimes you gotta stay in
And you know where I live
Yeah, you know what we is
Sometimes you gotta stay in, in
Welcome to my house
Baby, take control now
We can't even slow down
We don't have to go-ooh-woah-ooh-out
Welcome to my house
Play that music too loud
Show me what you do now
We don't have to go-ooh-woah-ooh-out

Welcome to my house
Welcome to my house

Morning comes and you know that you wanna stay
Close the blinds, let's pretend that the time has changed
Keep our clothes on the floor, open up champagne
Let's continue tonight, come on, celebrate (That's how we do)

Sometimes you gotta stay in
And you know where I live (You know where I live)
Yeah, you know what we is (You know what we is)
Sometimes you gotta stay in, in (In, in)
Welcome to my house
Baby, take control now (Now)
We can't even slow down
We don't have to go-ooh-woah-ooh-out (Out, out)
Welcome to my house
Play that music too loud (Turn it up, turn it up)
Show me what you do now (Show me now)
We don't have to go-ooh-woah-ooh-out (Go out, go out, uh)
Welcome to my house (It's my house, come on, bring a friend)
Welcome to my house

Welcome to my duck-off, the crib, the spot, the pad
But my house is your house if you throwin' it back
Excuse me if my home's draining the sad
Soon as these happy faces land you can run with the cash
Homerun, slam dunk, touchdown pass
Mi casa es tu casa, so it ain't no holding back
Another shot of vodka, you know what's in my glass
It's my house, just relax

Welcome to my house
Baby (Hey), take control now (Woo, woo)
We can't even slow down (Hit the brakes, hit the brakes, go out)
We don't have to go-ooh-woah-ooh-out (Cheers to this)
Welcome to my house
Play that music too loud (Turn it up)
Show me what you do now
We don't have to go-ooh-woah-ooh-out (Go out)
(Ayy, ayy) Welcome to my house
(Ayy, ayy) Welcome to my house (It's my house, my house)
(Ayy, ayy) Welcome to my house (What?)
It's my house26Embed",6Knv6wdA0luoMUuuoYi2i1,0,0.688,0.702,7,-4.792,0,0.0499,0.0215,0.0,0.128,0.74,94.006,192191,4,0,0,0.128,0.148,0.019,0.834,0.9942,53.6,-37.81,488,16,56.68,423,53.6
13,14,I Took A Pill In Ibiza,Mike Posner,2016,"I Took a Pill in Ibiza Lyrics
I took a pill in Ibiza to show Avicii I was cool
And when I finally got sober, felt 10 years older
But fuck it, it was something to do
I'm living out in LA, I drive a sports car just to prove
I'm a real big baller 'cause I made a million dollars
And I spend it on girls and shoes
But you don't wanna be high like me
Never really knowing why like me
You don't ever wanna step off that roller coaster
And be all alone
You don't wanna ride the bus like this
Never knowing who to trust like this
You don't wanna be stuck up on that stage singing
Stuck up on that stage singing
All I know are sad songs, sad songs
Darling, all I know are sad songs, sad songs
I'm just a singer who already blew his shot
I get along with old timers
'Cause my name's a reminder of a pop song people forgot
And I can't keep a girl, no
'Cause as soon as the sun comes up
I cut 'em all loose and work's my excuse
But the truth is I can't open up
Now you don't wanna be high like me
Never really knowing why like me
You don't ever wanna step off that roller coaster
And be all alone
You don't wanna ride the bus like this
Never knowing who to trust like this
You don't wanna be stuck up on that stage singing
Stuck up on that stage singing
All I know are sad songs, sad songs
Darling, all I know are sad songs, sad songs (Hey)

I took a plane to my hometown
I brought my pride and my guitar
All my friends are all gone but there's manicured lawns
And the people still think I'm a star
I walked around downtown
I met some fans on Lafayette
They said tell us how to make it 'cause we're getting real impatient
So I looked 'em in the eye and said
Related Songs
You don't wanna be high like me
Never really knowing why like me
You don't ever wanna step off that roller coaster
And be all alone
You don't wanna ride the bus like this
Never knowing who to trust like this
You don't wanna be stuck up on that stage singing
Stuck up on that stage singing
All I know are sad songs, sad songs
Darling, all I know are sad songs, sad songs82Embed",1MtUq6Wp1eQ8PC6BbPCj8P,0,0.664,0.714,7,-6.645,0,0.111,0.0353,8.42e-06,0.0843,0.71,101.969,197933,4,0,0,0.0843,0.178,0.155,0.667,0.8739,161.6,-318.96,483,12,167.49,418,161.6
14,15,Work From Home,Fifth Harmony Featuring Ty Dolla $ign,2016,,4tCtwWceOPWzenK2HAIJSb,0,0.803,0.585,8,-5.861,1,0.0432,0.103,3.94e-06,0.0644,0.593,105.017,214480,4,0,0,0.0644,,,,,,,,,,,
15,16,This Is What You Came For,Calvin Harris Featuring Rihanna,2016,,0azC730Exh71aQlOt9Zj3y,0,0.631,0.927,9,-2.787,0,0.0332,0.199,0.119,0.148,0.465,123.962,222160,4,0,0,0.148,,,,,,,,,,,
16,17,Cake By The Ocean,DNCE,2016,"Cake by the Ocean Lyrics
Nah, nah, nah
Cake by the ocean

Oh, no
See you walkin' 'round like it's a funeral
Not so serious girl, why those feet cold?
We just gettin' started, don't you tiptoe, tiptoe

Waste time with a masterpiece, don't waste time with a masterpiece (Huh)
You should be rollin' with me, you should be rollin' with me (Ah-ah-ah)
You're a real-life fantasy, you're a real-life fantasy (Huh)
But you're movin' so carefully, let's start livin' dangerously
Talk to me, baby
I'm goin' blind from this sweet, sweet cravin', woah-oh
Let's lose our minds and go fucking crazy
I-I-I-I-I, keep on hopin' we'll eat cake by the ocean
Walk for me, baby (Walk for me now)
I'll be Diddy, you'll be Naomi, woah-oh
Let's lose our minds and go fucking crazy
I-I-I-I-I keep on hopin' we'll eat cake by the ocean

Goddamn
See you lickin' frostin' from your own hands
Want another taste, I'm beggin', ""Yes, ma'am""
I'm tired of all this candy on the dry land, dry land, ooh

Waste time with a masterpiece, don't waste time with a masterpiece (Huh)
You should be rollin' with me, you should be rollin' with me (Ah-ah-ah)
You're a real-life fantasy, you're a real-life fantasy (Huh)
But you're movin' so carefully, let's start livin' dangerously (Woah-oh-oh-oh)

Talk to me, baby
I'm goin' blind from this sweet, sweet cravin', woah-oh
Let's lose our minds and go fucking crazy
I-I-I-I-I, keep on hopin' we'll eat cake by the ocean
Walk for me, baby (Walk for me now)
I'll be Diddy, you'll be Naomi, woah-oh
Let's lose our minds and go fucking crazy
I-I-I-I-I keep on hopin' we'll eat cake by the ocean
Ooh, ah, ah
I-I-I-I-I keep on hopin' we'll eat cake by the ocean
Ooh, ah, ah
I-I-I-I-I keep on hopin' we'll eat cake by the ocean (Oh, hey)

You're fuckin' delicious, haha
Talk to me, girl (Hey)

Talk to me, baby (Talk to me, baby, hey)
I'm goin' blind from this sweet, sweet cravin', woah-oh
Let's lose our minds and go fucking crazy
I-I-I-I-I (Ah), keep on hopin' we'll eat cake by the ocean (Hey)
Walk for me, baby (Walk for me now)
I'll be Diddy, you'll be Naomi, woah-oh
Let's lose our minds and go (And go what?), fucking crazy (That's right)
I-I-I-I-I keep on hopin' (Alright), we'll eat cake by the ocean (Aw, yeah)

Red velvet, vanilla, chocolate in my life
Funfetti (Oh), I'm ready (Oh), I need it every night (Hey)
Red velvet, vanilla, chocolate in my life (Oh)
I-I-I-I-I keep on hopin' we'll eat cake by the ocean52Embed",76hfruVvmfQbw0eYn1nmeC,0,0.774,0.753,4,-5.446,0,0.0517,0.152,0.0,0.0371,0.896,119.002,219147,4,0,0,0.0371,0.127,0.156,0.717,-0.9237,56.2,-50.03,543,20,58.62,434,56.2
17,18,"Me, Myself & I",G-Eazy x Bebe Rexha,2016,,40YcuQysJ0KlGQTeGUosTC,0,0.756,0.674,0,-6.518,0,0.0959,0.0184,0.0,0.158,0.389,111.995,251467,4,0,0,0.158,,,,,,,,,,,
18,19,Ride,twenty one pilots,2016,"Ride Lyrics
I just wanna stay in the sun where I find
I know it's hard sometimes
Pieces of peace in the sun's peace of mind
I know it's hard sometimes
Yeah, I think about the end just way too much
But it's fun to fantasize
On my enemies who wouldn't wish who I was
But it's fun to fantasize (Size, size)

Oh-woah-woah, oh-woah-woah, I'm fallin'
So I'm takin' my time on my ride, oh-woah-woah, I'm fallin'
So I'm takin' my time on my ride
Takin' my time on my ride
""I'd die for you,"" that's easy to say
We have a list of people that we would take
A bullet for them, a bullet for you
A bullet for everybody in this room
But I don't seem to see many bullets comin' through
See many bullets comin' through
Metaphorically, I'm the man
But literally, I don't know what I'd do
""I'd live for you,"" an' that's hard to do
Even harder to say when you know it's not true
Even harder to write when you know that tonight
There were people back home who tried talking to you
But then you ignore them still
All these questions they're for real
Like who would you live for? Who would you die for?
And would you ever kill?

Oh-woah-woah, oh-woah-woah, I'm fallin'
So I'm takin' my time on my ride, oh-woah-woah, I'm fallin'
So I'm takin' my time on my ride
Takin' my time on my ride

I've been thinkin' too much
I've been thinkin' too much
I've been thinkin' too much
I've been thinkin' too much
Help me
I've been thinkin' too much
I've been thinkin' too much
I've been thinkin' too much
Help me
I've been thinkin' too much
I've been thinkin' too much
I've been thinkin' too much
Oh-woah-woah, oh-woah-woah, I'm fallin'
So I'm takin' my time on my ride, oh-woah-woah, I'm fallin'
So I'm takin' my time
Takin' my time on my ride, woah-oh-oh (Woah, yeah)
Oh-woah-woah, oh-woah-woah, I'm fallin'
So I'm takin' my time on my ride, oh-woah-woah, I'm fallin'
So I'm takin' my time on my

I've been thinkin' too much
Help me
I've been thinkin' too much
Help me
I've been thinkin' too much
I've been thinkin' too much
I've been thinkin' too much
Help me
I've been thinkin' too much
I've been thinkin' too much
I've been thinkin' too much
Help me288Embed",2Z8WuEywRWYTKe1NybPQEW,0,0.645,0.713,6,-5.355,1,0.0393,0.00835,0.0,0.113,0.566,74.989,214507,4,0,0,0.113,0.099,0.078,0.822,0.8502,36.3,12.48,446,11,40.32,399,36.3
19,20,Heathens,twenty one pilots,2016,"Heathens Lyrics
All my friends are heathens, take it slow (In the city, boy, in the city)
Wait for them to ask you who you know
Please don't make any sudden moves
You don't know the half of the abuse
All my friends are heathens, take it slow
Wait for them to ask you who you know
Please don't make any sudden moves
You don't know the half of the abuse

Welcome to the room of people who have rooms of people
That they loved one day, locked away
Just because we check the guns at the door
Doesn't mean our brains will change from hand grenades
You'll never know the psychopath sitting next to you
You'll never know  the murderer sitting next to you
You'll think, ""How'd I get here, sitting next to you?""
But after all I've said, please don't forget
All my friends are heathens, take it slow
Wait for them to ask you who you know
Please don't make any sudden moves
You don't know the half of the abuse

We don't deal with outsiders very well
They say newcomers have a certain smell
You have trust issues, not to mention
They say they can smell your intentions
You'll never know the freak show sitting next to you
You'll have some weird people sitting next to you
You'll think ""How did I get here, sitting next to you?""
But after all I've said, please don't forget
(Watch it, watch it)

All my friends are heathens, take it slow (In the city, boy, in the city)
Wait for them to ask you who you know
Please don't make any sudden moves
You don't know the half of the abuse

All my friends are heathens, take it slow (Watch it)
Wait for them to ask you who you know (Watch it)
Please all my friends are heathens, take it slow (Watch it)
Wait for them to ask you who you know
Why'd you come? You knew you should have stayed (It's blasphemy)
I tried to warn you just to stay away (Wouldn't listen to me)
And now they're outside ready to bust (And guess what?)
It looks like you might be one of us375Embed",6i0V12jOa3mr6uu4WYhUBr,0,0.732,0.396,4,-9.348,0,0.0286,0.0841,3.58e-05,0.105,0.548,90.024,195920,4,0,0,0.105,0.171,0.048,0.781,0.9932,25.9,39.48,413,10,29.72,366,25.9
20,21,Pillowtalk,Zayn,2016,"PILLOWTALK Lyrics
Climb on board
We'll go slow and high tempo
Light and dark
Hold me hard and mellow

I'm seeing the pain, seeing the pleasure
Nobody but you, 'body but me
'Body but us, bodies together
I love to hold you close, tonight and always
I love to wake up next to you
I love to hold you close, tonight and always
I love to wake up next to you
So we'll piss off the neighbours
In the place that feels the tears
The place to lose your fears
Yeah, reckless behavior
A place that is so pure, so dirty and raw
In the bed all day, bed all day, bed all day
Fucking and fighting on
It's our paradise and it's our war zone
It's our paradise and it's our war zone

Pillow talk
My enemy, my ally
Prisoners
Then we're free, it's a thin line

I'm seeing the pain, seeing the pleasure
Nobody but you, 'body but me
'Body but us, bodies together
I love to hold you close, tonight and always
I love to wake up next to you

So we'll piss off the neighbours
In the place that feels the tears
The place to lose your fears
Yeah, reckless behavior
A place that is so pure, so dirty and raw
In the bed all day, bed all day, bed all day
Fucking and fighting on
It's our paradise and it's our war zone
It's our paradise and it's our war zone
Paradise, paradise, paradise, paradise
War zone, war zone, war zone, war zone
Paradise, paradise, paradise, paradise
War zone, war zone, war zone, war zone

So we'll piss off the neighbours
In the place that feels the tears
The place to lose your fears
Yeah, reckless behavior
A place that is so pure, so dirty and raw
In the bed all day, bed all day, bed all day
Fucking and fighting on
It's our paradise and it's our war zone
It's our paradise and it's our war zone121Embed",0PDUDa38GO8lMxLCRc4lL1,0,0.584,0.7,11,-4.275,1,0.0456,0.117,0.0,0.0939,0.438,124.944,202747,4,0,0,0.0939,0.241,0.303,0.455,-0.9831,128.4,-232.69,392,12,133.44,333,128.4
